trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-41.75481721195231,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-128.27686460531692,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-99.18735056574532,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-135.2029034242693,"{0: 16, 1: 9, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-10.942412274189069,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-154.76516139652355,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-60.36946684105099,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-47.044935453376915,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,11,-12.069543708487547,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-81.12940941025806,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,20.472315599376653,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-39.811671962852,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-106.80294884902497,"{0: 15, 1: 15, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-41.00748905032831,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-28.186251456606104,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-85.77440601480302,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-97.67547879459026,"{0: 14, 1: 15, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-38.818640256149955,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-20.798385167503078,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-37.5686382205939,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-33.0949371475082,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-18.850025815699794,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,0,-54.01131574691027,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-43.51974963197301,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-19.719696514156155,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
